enable,mc,pair,dataset,nocor,cor,truth
0,1,p-p,LHC24f3c,410055,410753,410753
0,1,p-p,LHC24f3c,432205,432205,432205
0,1,p-p,LHC24f3c_fix,416590,416770,416770
1,1,p-p,LHC24f3c_fix,433636,433636,433636
1,1,p-ap,LHC24f3c_fix,416589,417729,417729
0,1,pi-pi,LHC24f3c,410054,410754,410754
1,1,pi-pi,LHC24f3c,431027,431027,431027
1,1,pi-api,LHC24f3c,410998,416216,416216
0,1,k-k,LHC24f3,411980,413362,413362
0,1,k-k,LHC24f3c,424876,426147,427137
1,1,k-k,LHC24f3c,432204,432204,432204
0,1,k-ak,LHC24f3,413363,415825,415825
1,1,k-ak,LHC24f3c,424877,426148,427138
1,0,pi-pi,LHC22o_pass7_minBias_small,434791,434791,431027
1,0,pi-api,LHC22o_pass7_minBias_small,434792,434792,416216
1,0,p-p,LHC22o_pass7_minBias_medium,435143,435143,433636
